reactive_energy_cost,imbalance_cost,harmonic_cost,neutral_current_cost,baseline_active_energy_cost
32850,32610.5999999997,3.1573152,330.75,180375
31725,32640.2999999997,3.1571424,5729.07,183000
18750,31121.6399999992,3.1998069,2523,181650
42150,17886.9600000007,3.0936528,5881.3425,178050
30375,24852.9599999995,3.1643136,1266.474825,179100
24900,32671.9799999991,3.2041719,777.63,179025
27975,33739.1999999993,3.1723488,5521.23,173850
14700,33127.3800000012,3.2443488,604.92,172950
35025,21526.5599999995,3.138534,5529.909825,171675
27150,27016.1100000006,3.1736448,2117.2833,172575
25125,29339.6400000002,3.1749408,6270.865425,172425
36675,21991.1999999995,3.1375935,858.33,171825
18975,32567.0400000008,3.2108067,2165.13,174675
40200,18326.0000000003,3.1357125,4835.523825,177525
36300,25163.4599999996,3.134088,3022.3017,179175
24225,39120.8400000005,3.2045211,5444.28,180675
34875,34626.2399999992,3.133404,81.860625,180450
17025,37145.7899999998,3.2062671,2691.0075,179025
29775,31092.9299999991,3.1664736,7.68,177600
30375,32637.3300000012,3.1620672,4297.8675,176475
7275,38553.999999999,3.2402916,2051.4675,177975
12975,29695.9999999994,3.2371164,821.7075,179550
11700,23114.0000000005,3.2386158,3257.1075,177675
10500,27311.0000000002,3.2751378,1077.3075,176850
10125,35479.9999999993,3.2722866,666.03,175950
10050,49113.0000000005,3.2327946,0.03,175725
11475,56560.0000000002,3.2296194,79.5675,177225
28650,70110.8100000002,3.1532544,399.6432,176775
28800,42886.7999999991,3.157488,1.92,176775
15075,62944.0000000002,3.223269,3920.4675,178050
31650,106925.94,3.1425408,2318.52,180675
29550,94752.8999999993,3.1443552,5067.63,184425
24600,79560.360000001,3.1825215,177.87,182775
35400,59831.6399999999,3.1172445,4540.5657,184350
17625,60876.0000000008,3.1905531,4207.5075,182025
16200,32794.9999999995,3.2283846,465.0075,179925
14325,39401.000000001,3.2286492,3.3075,180225
17325,60112.7999999997,3.1891563,0.9075,178350
30075,74487.5999999996,3.15144,2845.92,178200
16050,69931.6199999999,3.1898547,300,176925
36300,60623.6400000007,3.113397,1753.7553,176025
37500,55543.9499999994,3.113568,2254.237425,177675
7200,41509.9999999993,3.2621292,1010.1675,177825
12450,38284.0000000004,3.2267088,3198.0675,177975
11175,43142.0000000005,3.228561,939.87,181425
27225,72705.5999999993,3.1511808,1.08,181200
33075,38158.5599999998,3.1532544,4065.93,178800
14100,42407.9999999999,3.2273262,1273.08,182025
9375,45797.0000000012,3.2611491,4800,184275
10725,45708.0000000001,3.2562486,2901.63,184875
9975,49880.0000000008,3.2597235,1491.87,187275
9825,51480.0000000003,3.2616837,303.0075,190350
8250,45029.0000000006,3.2580306,400.2075,189225
6600,42840,3.2589216,4860.1875,188025
8250,45696.0000000002,3.2618619,1573.23,188250
8550,89176.000000001,3.2523282,192,188850
9225,47641.9999999996,3.2534865,19.5075,189900
16200,51198.0000000009,3.2176242,480.0675,193575
15525,53727.9999999993,3.2152428,955.8675,196425
14025,45990.0000000002,3.2167422,2445.3075,193800
13650,48090.0000000002,3.214449,1049.07,190800
12750,45143.9999999995,3.2154192,184.8675,193275
11400,66197.0000000002,3.2095098,744.1875,192000
33075,156791.25,3.0924495,5921.058825,185400
40275,177605.999999999,3.0539754,1284.9408,183975
14175,84318.0000000015,3.20166,5329.8675,182325
14700,68086.0000000004,3.2014836,730.08,184575
14550,57966.9999999994,3.2050116,1.47,185175
23175,136833.840000001,3.1634028,166.5075,183000
30375,127314.989999999,3.1238784,2593.08,182325
18375,75280.5899999995,3.1661964,1692.1875,183150
39450,77695.1999999999,3.092193,5815.445625,184050
33900,51566.1300000009,3.1321728,2808.320625,183225
6975,50423.9999999998,3.2426163,5204.1675,185850
16575,33471.9999999993,3.2057172,6279.1875,189000
19425,35342.9999999998,3.2063346,2781.6075,193050
14025,46410,3.2133024,1032.3075,195825
14625,40028.9999999998,3.2160366,5279.4075,195675
14400,40061.9999999998,3.2190354,3336.6675,195000
16050,38335.9999999992,3.2191236,79.5675,198075
16125,38432.0000000009,3.220182,1614.72,198300
17175,38080.0000000009,3.2216814,1077.3075,198375
15300,36580.0000000003,3.2227398,679.5075,196500
9300,27983.9999999994,3.2565159,3100.8675,191250
29775,21086.0099999997,3.1460832,4633.47,188475
33825,29723.7599999996,3.1483296,5342.52,188850
10275,35092.0000000003,3.2244156,70.5675,185400
14250,18521.9999999992,3.2183298,428.4075,184050
18300,12596.9999999996,3.2172714,6115.5675,192075
10500,27755.9999999996,3.2520609,67.6875,214950
31875,27348.75,3.1787676,1297.92,212850
38400,29242.6199999996,3.1425408,4173.87,219225
19050,32608.0000000007,3.2446656,171.0075,249975
17325,34474.9999999994,3.2422599,4389.1875,253275
17325,24825,3.2431509,903.0675,253725
17850,34894.9999999994,3.242349,487.6875,257475
21825,33824.9999999998,3.2393196,688.5675,263025
23400,35099.9999999999,3.2058936,4836.0675,265350
22575,36186.0000000005,3.2058054,861.9075,262950
19200,35224.0000000004,3.2407452,219.3075,258525
16650,34416,3.2455566,3570.75,255600
15300,34128,3.2452893,2343.6075,252525
17850,32690.0000000008,3.2413689,3550.08,254550
15225,32776.0000000003,3.2419926,1212.03,249675
13200,34440.0000000008,3.2419035,3188.28,247800
13275,37391.9999999995,3.2418144,4993.92,247500
13575,35783.9999999999,3.244131,5598.72,246825
15975,37223.9999999999,3.241458,115.32,249375
15375,37835.9999999999,3.2426163,363,252075
13875,38220.999999999,3.2425272,3654.03,250050
17025,36260.0000000004,3.2384286,5129.4675,254550
17475,36214.0000000009,3.237003,2170.83,254850
22050,34854.0000000004,3.201219,483.87,256575
24525,34846.0000000009,3.1997196,2227.6875,269025
18225,34769.9999999996,3.2358447,149.1075,262725
15225,36270,3.2357556,1361.07,259125
14400,39599.9999999992,3.2381613,5781.63,257250
15975,36704.0000000005,3.2360229,1083,257175
16200,35424,3.2346864,993.72,258825
15975,28043.0000000006,3.2353101,245.7075,259275
17775,32980.0000000003,3.2358447,1054.6875,262575
18975,33863.9999999989,3.2329044,37.8075,263475
18375,33197.9999999998,3.2353992,1927.8675,260700
18975,31448.9999999998,3.23433,3326.67,261900
17175,35224.0000000004,3.2354883,237.63,259500
16125,39200.0000000006,3.2439528,4196.28,258525
16800,40614.0000000002,3.2439528,3834.1875,261975
15450,41495.0000000007,3.2443983,507,259200
13275,38319.9999999992,3.2524173,211.68,254475
12675,32288.0000000007,3.2558031,2227.6875,254250
10575,30906.9999999988,3.2599908,2090.88,252300
8850,32084.9999999988,3.2603472,196.83,250950
